event_id,label
532,0
533,0
534,0
535,0
536,5
537,8
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,6
551,8
552,6
553,8
554,0
555,0
556,0
557,6
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,8
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,8
589,6
590,0
591,6
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,6
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,5
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,6
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,8
642,0
643,8
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,8
652,8
653,0
654,5
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,5
678,0
679,8
680,8
681,8
682,5
683,0
684,8
685,0
686,0
687,6
688,0
689,5
690,0
691,0
692,6
693,0
694,0
695,0
696,0
697,0
698,8
699,0
700,0
701,0
702,6
703,0
704,0
705,0
706,5
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,5
721,0
722,6
723,0
724,0
725,0
726,8
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,8
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,8
751,0
752,5
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,8
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,5
773,0
774,8
775,0
776,8
777,6
778,8
779,6
780,0
781,0
782,0
783,5
784,0
785,0
786,8
787,0
788,0
789,0
790,0
791,0
792,0
793,5
794,8
795,0
796,0
797,0
798,0
799,6
800,5
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,5
814,0
815,0
816,0
817,0
818,0
819,0
820,5
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,5
830,8
831,0
832,0
833,5
834,0
835,0
836,6
837,0
838,8
839,8
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,8
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,5
866,0
867,0
868,0
869,5
870,0
871,0
872,0
873,0
874,8
875,0
876,0
877,0
878,0
879,0
880,5
881,0
882,0
883,0
884,5
885,0
886,8
887,0
888,8
889,0
890,0
891,0
892,0
893,0
894,0
895,8
896,0
897,0
898,0
899,0
900,8
901,8
902,0
903,0
904,8
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,6
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,5
927,0
928,0
929,8
930,0
931,0
932,0
933,0
934,8
935,0
936,0
937,0
938,6
939,0
940,0
941,0
942,0
943,0
944,6
945,0
946,0
947,8
948,0
949,0
950,0
951,0
952,0
953,0
954,6
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,6
965,6
966,0
967,0
968,0
969,6
970,0
971,0
972,0
973,5
974,0
975,0
976,0
977,0
978,5
979,0
980,0
981,0
982,0
983,0
984,0
985,8
986,0
987,0
988,0
989,0
990,0
991,0
992,8
993,0
994,0
995,0
996,0
997,0
998,5
999,0
